SampleID	Tissue	curated_anno	EXTENDscores
CESC_HRA001742@2020018CA_5|26|0|1	Cervical	Tprolif	0.982653582
CESC_HRA001742@2020018CA_5|26|0|2	Cervical	Tprolif	0.762700867
CESC_HRA001742@2020018CA_5|26|0|3	Cervical	Tprolif	0.796666895
CESC_HRA001742@2020018CA_5|26|0|4	Cervical	Tprolif	0.783188864
CESC_HRA001742@2020018CA_5|26|1|1	Cervical	Tprolif	0.846041362
CESC_HRA001742@2020018CA_5|26|1|2	Cervical	Tprolif	0.810916991
CESC_HRA001742@2020018CA_5|26|1|3	Cervical	Tprolif	0.718456365
CESC_HRA001742@2020018CA_5|26|1|4	Cervical	Tprolif	0.83671244
CESC_HRA001742@2020018CA_5|26|2	Cervical	B	0.71715387
CESC_HRA001742@2020018CA_5|26|2|2	Cervical	B	0.630025946
CESC_HRA001742@2020018CA_5|31|0|1	Cervical	DC	0.397002395
CESC_HRA001742@2020018CA_5|31|0|2	Cervical	DC	0.573319376
CESC_HRA001742@2020018CA_5|6|0|1	Cervical	CD8T	0.51402009
CESC_HRA001742@2020018CA_5|6|0|10	Cervical	CD8T	0.525374051
CESC_HRA001742@2020018CA_5|6|0|11	Cervical	CD8T	0.37688062
CESC_HRA001742@2020018CA_5|6|0|12	Cervical	CD8T	0.508323904
CESC_HRA001742@2020018CA_5|6|0|13	Cervical	CD8T	0.611661765
CESC_HRA001742@2020018CA_5|6|0|14	Cervical	CD8T	0.502063152
CESC_HRA001742@2020018CA_5|6|0|15	Cervical	CD8T	0.508555512
CESC_HRA001742@2020018CA_5|6|0|16	Cervical	CD8T	0.479207131
CESC_HRA001742@2020018CA_5|6|0|17	Cervical	CD8T	0.52983195
CESC_HRA001742@2020018CA_5|6|0|18	Cervical	CD8T	0.52335133
CESC_HRA001742@2020018CA_5|6|0|19	Cervical	CD8T	0.369588627
CESC_HRA001742@2020018CA_5|6|0|2	Cervical	CD8T	0.746222614
CESC_HRA001742@2020018CA_5|6|0|20	Cervical	CD8T	0.695665382
CESC_HRA001742@2020018CA_5|6|0|21	Cervical	CD8T	0.490529785
CESC_HRA001742@2020018CA_5|6|0|22	Cervical	CD8T	0.410857701
CESC_HRA001742@2020018CA_5|6|0|23	Cervical	CD8T	0.518309508
CESC_HRA001742@2020018CA_5|6|0|24	Cervical	CD8T	0.511121788
CESC_HRA001742@2020018CA_5|6|0|25	Cervical	CD8T	0.711028235
CESC_HRA001742@2020018CA_5|6|0|26	Cervical	CD8T	0.494973569
CESC_HRA001742@2020018CA_5|6|0|27	Cervical	CD8T	0.496567571
CESC_HRA001742@2020018CA_5|6|0|28	Cervical	CD8T	0.51356109
CESC_HRA001742@2020018CA_5|6|0|29	Cervical	CD8T	0.490439569
CESC_HRA001742@2020018CA_5|6|0|3	Cervical	Treg	0.540897641
CESC_HRA001742@2020018CA_5|6|0|30	Cervical	CD8T	0.712210558
CESC_HRA001742@2020018CA_5|6|0|31	Cervical	CD8T	0.636646398
CESC_HRA001742@2020018CA_5|6|0|32	Cervical	CD8T	0.506303234
CESC_HRA001742@2020018CA_5|6|0|33	Cervical	CD8T	0.507542964
CESC_HRA001742@2020018CA_5|6|0|34	Cervical	Treg	0.316801955
CESC_HRA001742@2020018CA_5|6|0|35	Cervical	Treg	0.704584604
CESC_HRA001742@2020018CA_5|6|0|36	Cervical	CD8T	0.518972932
CESC_HRA001742@2020018CA_5|6|0|37	Cervical	CD8T	0.533637956
CESC_HRA001742@2020018CA_5|6|0|38	Cervical	CD8T	0.584566593
CESC_HRA001742@2020018CA_5|6|0|39	Cervical	Treg	0.52946708
CESC_HRA001742@2020018CA_5|6|0|4	Cervical	CD8T	0.539108404
CESC_HRA001742@2020018CA_5|6|0|40	Cervical	CD8T	0.548666943
CESC_HRA001742@2020018CA_5|6|0|41	Cervical	CD8T	0.651560583
CESC_HRA001742@2020018CA_5|6|0|42	Cervical	CD8T	0.549550235
CESC_HRA001742@2020018CA_5|6|0|43	Cervical	Treg	0.317098494
CESC_HRA001742@2020018CA_5|6|0|44	Cervical	CD8T	0.38973719
CESC_HRA001742@2020018CA_5|6|0|5	Cervical	CD8T	0.631744314
CESC_HRA001742@2020018CA_5|6|0|6	Cervical	Treg	0.50770178
CESC_HRA001742@2020018CA_5|6|0|7	Cervical	CD8T	0.482427257
CESC_HRA001742@2020018CA_5|6|0|8	Cervical	CD8T	0.527733585
CESC_HRA001742@2020018CA_5|6|0|9	Cervical	CD8T	0.496892645
CESC_HRA001742@2020018CA_5|6|1|1	Cervical	Treg	0.566878994
CESC_HRA001742@2020018CA_5|6|1|10	Cervical	CD8T	0.802946643
CESC_HRA001742@2020018CA_5|6|1|2	Cervical	CD8T	0.66349885
CESC_HRA001742@2020018CA_5|6|1|3	Cervical	Treg	0.656820759
CESC_HRA001742@2020018CA_5|6|1|4	Cervical	CD8T	0.858284498
CESC_HRA001742@2020018CA_5|6|1|5	Cervical	CD8T	0.632724704
CESC_HRA001742@2020018CA_5|6|1|6	Cervical	CD8T	0.53530128
CESC_HRA001742@2020018CA_5|6|1|7	Cervical	CD8T	0.435771685
CESC_HRA001742@2020018CA_5|6|1|8	Cervical	CD8T	0.553361621
CESC_HRA001742@2020018CA_5|6|1|9	Cervical	CD8T	0.505059462
CESC_HRA001742@2020018CA_5|7|0	Cervical	B	0.527571333
CESC_HRA001742@2020018CA_5|7|0|10	Cervical	B	0.402197141
CESC_HRA001742@2020018CA_5|7|0|11	Cervical	B	0.543689667
CESC_HRA001742@2020018CA_5|7|0|12	Cervical	B	0.585811088
CESC_HRA001742@2020018CA_5|7|0|13	Cervical	B	0.545794264
CESC_HRA001742@2020018CA_5|7|0|14	Cervical	B	0.402848767
CESC_HRA001742@2020018CA_5|7|0|15	Cervical	B	0.447386407
CESC_HRA001742@2020018CA_5|7|0|16	Cervical	B	0.383412928
CESC_HRA001742@2020018CA_5|7|0|17	Cervical	B	0.538230353
CESC_HRA001742@2020018CA_5|7|0|18	Cervical	B	0.544426838
CESC_HRA001742@2020018CA_5|7|0|19	Cervical	B	0.401061475
CESC_HRA001742@2020018CA_5|7|0|2	Cervical	B	0.644239601
CESC_HRA001742@2020018CA_5|7|0|20	Cervical	B	0.493009036
CESC_HRA001742@2020018CA_5|7|0|21	Cervical	B	0.403834854
CESC_HRA001742@2020018CA_5|7|0|3	Cervical	B	0.53225736
CESC_HRA001742@2020018CA_5|7|0|4	Cervical	B	0.41749928
CESC_HRA001742@2020018CA_5|7|0|5	Cervical	B	0.378498195
CESC_HRA001742@2020018CA_5|7|0|6	Cervical	B	0.362530105
CESC_HRA001742@2020018CA_5|7|0|7	Cervical	B	0.532432817
CESC_HRA001742@2020018CA_5|7|0|8	Cervical	B	0.216355153
CESC_HRA001742@2020018CA_5|7|0|9	Cervical	B	0.370456627
CESC_HRA001742@2020018CA_5|7|1	Cervical	B	0.425120865
CESC_HRA001742@2020018CA_5|7|1|10	Cervical	Treg	0.428496125
CESC_HRA001742@2020018CA_5|7|1|11	Cervical	B	0.196132353
CESC_HRA001742@2020018CA_5|7|1|12	Cervical	B	0.2645447
CESC_HRA001742@2020018CA_5|7|1|13	Cervical	B	0.392228729
CESC_HRA001742@2020018CA_5|7|1|14	Cervical	B	0.36908092
CESC_HRA001742@2020018CA_5|7|1|2	Cervical	B	0.552445043
CESC_HRA001742@2020018CA_5|7|1|3	Cervical	B	0.493281222
CESC_HRA001742@2020018CA_5|7|1|4	Cervical	B	0.490164286
CESC_HRA001742@2020018CA_5|7|1|5	Cervical	B	0.390539421
CESC_HRA001742@2020018CA_5|7|1|6	Cervical	B	0.570438625
CESC_HRA001742@2020018CA_5|7|1|7	Cervical	B	0.470713062
CESC_HRA001742@2020018CA_5|7|1|8	Cervical	B	0.363803308
CESC_HRA001742@2020018CA_5|7|1|9	Cervical	B	0.750696541
CESC_HRA001742@2020018CA_5|7|2|1	Cervical	B	0.469864477
CESC_HRA001742@2020018CA_5|7|2|2	Cervical	B	0.401952768
CESC_HRA001742@2020018CA_5|7|2|3	Cervical	B	0.336457777
CESC_HRA001742@2020018CA_5|7|2|4	Cervical	B	0.443215727
CESC_HRA001742@2020018CA_5|7|2|5	Cervical	B	0.638938671
CESC_HRA001742@2020020P_5|0|0	Cervical	NK	0.335748093
CESC_HRA001742@2020020P_5|0|0|2	Cervical	CD8T	0.544699024
CESC_HRA001742@2020020P_5|0|0|3	Cervical	CD8T	0.51025939
CESC_HRA001742@2020020P_5|0|0|4	Cervical	CD4Tconv	0.241853247
CESC_HRA001742@2020020P_5|0|0|5	Cervical	CD4Tconv	0.770887789
CESC_HRA001742@2020020P_5|1|0|1	Cervical	CD8T	0.581113811
CESC_HRA001742@2020020P_5|1|0|2	Cervical	CD4Tconv	0.376072799
CESC_HRA001742@2020020P_5|1|0|3	Cervical	CD4Tconv	0.582153637
CESC_HRA001742@2020020P_5|1|0|4	Cervical	CD4Tconv	0.727419953
CESC_HRA001742@2020020P_5|1|0|5	Cervical	CD8T	0.705865531
CESC_HRA001742@2020020P_5|1|0|6	Cervical	Treg	0.325250089
CESC_HRA001742@2020020P_5|1|0|7	Cervical	CD8T	0.532774115
CESC_HRA001742@2020020P_5|11|0|1	Cervical	Mono/Macro	0.613953003
CESC_HRA001742@2020020P_5|11|0|2	Cervical	DC	0.692583444
CESC_HRA001742@2020020P_5|11|0|3	Cervical	Mono/Macro	0.598624679
CESC_HRA001742@2020020P_5|11|0|4	Cervical	Mono/Macro	0.434567723
CESC_HRA001742@2020020P_5|11|0|5	Cervical	Mono/Macro	0.357977515
CESC_HRA001742@2020020P_5|11|0|6	Cervical	Mono/Macro	0.388650218
CESC_HRA001742@2020020P_5|11|1|1	Cervical	Mono/Macro	0.189158561
CESC_HRA001742@2020020P_5|11|1|2	Cervical	Mono/Macro	0.224174046
CESC_HRA001742@2020020P_5|11|1|3	Cervical	Mono/Macro	0
CESC_HRA001742@2020020P_5|14|0	Cervical	NK	0.384147724
CESC_HRA001742@2020020P_5|14|0|2	Cervical	CD8T	0.594008654
CESC_HRA001742@2020020P_5|16|0	Cervical	CD4Tconv	0.400285683
CESC_HRA001742@2020020P_5|16|0|10	Cervical	CD8T	0.342884881
CESC_HRA001742@2020020P_5|16|0|11	Cervical	CD8T	0.524899282
CESC_HRA001742@2020020P_5|16|0|12	Cervical	CD4Tconv	0.57082452
CESC_HRA001742@2020020P_5|16|0|13	Cervical	CD4Tconv	0.41438316
CESC_HRA001742@2020020P_5|16|0|14	Cervical	CD4Tconv	0.336617386
CESC_HRA001742@2020020P_5|16|0|15	Cervical	NK	0.064457915
CESC_HRA001742@2020020P_5|16|0|16	Cervical	NK	0.462200637
CESC_HRA001742@2020020P_5|16|0|17	Cervical	CD8T	0.470939709
CESC_HRA001742@2020020P_5|16|0|18	Cervical	CD8T	0.448934287
CESC_HRA001742@2020020P_5|16|0|19	Cervical	NK	0.26210973
CESC_HRA001742@2020020P_5|16|0|2	Cervical	CD4Tconv	0.207932548
CESC_HRA001742@2020020P_5|16|0|20	Cervical	CD8T	0.388399965
CESC_HRA001742@2020020P_5|16|0|21	Cervical	CD4Tconv	0.234571818
CESC_HRA001742@2020020P_5|16|0|22	Cervical	CD4Tconv	0.399301308
CESC_HRA001742@2020020P_5|16|0|23	Cervical	NK	0.406652152
CESC_HRA001742@2020020P_5|16|0|24	Cervical	CD4Tconv	0.385011472
CESC_HRA001742@2020020P_5|16|0|25	Cervical	CD4Tconv	0.532941282
CESC_HRA001742@2020020P_5|16|0|26	Cervical	NK	0.214945612
CESC_HRA001742@2020020P_5|16|0|3	Cervical	CD4Tconv	0.260680217
CESC_HRA001742@2020020P_5|16|0|4	Cervical	CD8T	0.381642314
CESC_HRA001742@2020020P_5|16|0|5	Cervical	Treg	0.360346042
CESC_HRA001742@2020020P_5|16|0|6	Cervical	CD8T	0.630106302
CESC_HRA001742@2020020P_5|16|0|7	Cervical	CD8T	0.379813304
CESC_HRA001742@2020020P_5|16|0|8	Cervical	CD4Tconv	0.541204336
CESC_HRA001742@2020020P_5|16|0|9	Cervical	CD8T	0.48580392
CESC_HRA001742@2020020P_5|18|2|4	Cervical	CD8T	0.596239164
CESC_HRA001742@2020020P_5|18|2|5	Cervical	CD8T	0.396034432
CESC_HRA001742@2020020P_5|31|0	Cervical	DC	0.868533316
CESC_HRA001742@2020020P_5|9|0|30	Cervical	CD8T	0.325613957
CESC_HRA001742@CA_5|0|0|1	Cervical	NK	0.479407191
CESC_HRA001742@CA_5|1|0|1	Cervical	CD8T	0.378294435
CESC_HRA001742@CA_5|1|0|2	Cervical	CD4Tconv	0.391985113
CESC_HRA001742@CA_5|14|0	Cervical	NK	0.07136412
CESC_HRA001742@CA_N_5|0|0	Cervical	CD8T	0.463999287
CESC_HRA001742@CA_N_5|0|0|10	Cervical	CD8T	0.456808224
CESC_HRA001742@CA_N_5|0|0|2	Cervical	CD8T	0.745794876
CESC_HRA001742@CA_N_5|0|0|3	Cervical	CD8T	0.72963961
CESC_HRA001742@CA_N_5|0|0|4	Cervical	CD8T	0.384781834
CESC_HRA001742@CA_N_5|0|0|5	Cervical	CD8T	0.39868927
CESC_HRA001742@CA_N_5|0|0|6	Cervical	CD8T	0.537330872
CESC_HRA001742@CA_N_5|0|0|7	Cervical	NK	0.492671233
CESC_HRA001742@CA_N_5|0|0|8	Cervical	CD8T	0.285147511
CESC_HRA001742@CA_N_5|0|0|9	Cervical	NK	0.270839949
CESC_HRA001742@CA_N_5|1|0	Cervical	CD4Tconv	0.568100231
CESC_HRA001742@CA_N_5|1|0|10	Cervical	CD4Tconv	0.400638604
CESC_HRA001742@CA_N_5|1|0|11	Cervical	NK	0.35952937
CESC_HRA001742@CA_N_5|1|0|12	Cervical	NK	0.279349463
CESC_HRA001742@CA_N_5|1|0|13	Cervical	CD4Tconv	0.500349063
CESC_HRA001742@CA_N_5|1|0|14	Cervical	CD4Tconv	0.403587209
CESC_HRA001742@CA_N_5|1|0|15	Cervical	NK	0.287384439
CESC_HRA001742@CA_N_5|1|0|2	Cervical	CD4Tconv	0.587940551
CESC_HRA001742@CA_N_5|1|0|3	Cervical	CD4Tconv	0.252775485
CESC_HRA001742@CA_N_5|1|0|4	Cervical	NK	0.460176089
CESC_HRA001742@CA_N_5|1|0|5	Cervical	CD4Tconv	0.280575706
CESC_HRA001742@CA_N_5|1|0|6	Cervical	CD4Tconv	0.453917143
CESC_HRA001742@CA_N_5|1|0|7	Cervical	CD4Tconv	0.444353969
CESC_HRA001742@CA_N_5|1|0|8	Cervical	CD4Tconv	0.276399775
CESC_HRA001742@CA_N_5|1|0|9	Cervical	CD4Tconv	0.432867143
CESC_HRA001742@CA_N_5|1|1|1	Cervical	NK	0.478520182
CESC_HRA001742@CA_N_5|1|1|10	Cervical	CD8T	0.271491121
CESC_HRA001742@CA_N_5|1|1|2	Cervical	NK	0.36078692
CESC_HRA001742@CA_N_5|1|1|3	Cervical	CD8T	0.476461672
CESC_HRA001742@CA_N_5|1|1|4	Cervical	NK	0.713672928
CESC_HRA001742@CA_N_5|1|1|5	Cervical	NK	0.286138839
CESC_HRA001742@CA_N_5|1|1|6	Cervical	NK	0.414248662
CESC_HRA001742@CA_N_5|1|1|7	Cervical	CD4Tconv	0.247827186
CESC_HRA001742@CA_N_5|1|1|8	Cervical	CD8T	0.607725701
CESC_HRA001742@CA_N_5|1|1|9	Cervical	CD8T	0.407813046
CESC_HRA001742@CA_N_5|11|0|1	Cervical	DC	0.267146298
CESC_HRA001742@CA_N_5|11|0|2	Cervical	Mono/Macro	0.156235479
CESC_HRA001742@CA_N_5|11|0|3	Cervical	DC	0.293657185
CESC_HRA001742@CA_N_5|11|0|4	Cervical	DC	0.387629237
CESC_HRA001742@CA_N_5|14|0	Cervical	CD8T	0.465034708
CESC_HRA001742@CA_N_5|21|0	Cervical	DC	0.353649909
CESC_HRA001742@CA_N_5|9|0	Cervical	CD4Tconv	0.223834647
CESC_HRA001742@R2020002CA_5|0|0	Cervical	CD8T	0.269279188
CESC_HRA001742@R2020002CA_5|0|0|2	Cervical	CD8T	0.579952116
CESC_HRA001742@R2020002CA_5|0|0|3	Cervical	CD8T	0.29153172
CESC_HRA001742@R2020002CA_5|0|0|4	Cervical	CD8T	0.737901046
CESC_HRA001742@R2020002CA_5|0|0|5	Cervical	Tprolif	0.655317289
CESC_HRA001742@R2020002CA_5|0|1|1	Cervical	CD8T	0.116436196
CESC_HRA001742@R2020002CA_5|0|1|2	Cervical	CD8T	0.274128024
CESC_HRA001742@R2020002CA_5|0|1|3	Cervical	CD8T	0.115588065
CESC_HRA001742@R2020002CA_5|0|1|4	Cervical	CD8T	0.521466253
CESC_HRA001742@R2020002CA_5|1|0	Cervical	CD4Tconv	0.282852676
CESC_HRA001742@R2020002CA_5|1|0|2	Cervical	CD8T	0.312065326
CESC_HRA001742@R2020002CA_5|1|0|3	Cervical	CD8T	0.336262102
CESC_HRA001742@R2020002CA_5|1|0|4	Cervical	CD8T	0.494452063
CESC_HRA001742@R2020002CA_5|1|0|5	Cervical	CD8T	0.131702544
CESC_HRA001742@R2020002CA_5|1|0|6	Cervical	CD4Tconv	0.311497149
CESC_HRA001742@R2020002CA_5|1|0|7	Cervical	Treg	0.319743561
CESC_HRA001742@R2020002CA_5|1|0|8	Cervical	CD8T	0.311810447
CESC_HRA001742@R2020002CA_5|10|0|4	Cervical	CD8T	0.553439562
CESC_HRA001742@R2020002CA_5|11|0	Cervical	Mono/Macro	0.186729951
CESC_HRA001742@R2020002CA_5|11|0|2	Cervical	Mono/Macro	0.223328549
CESC_HRA001742@R2020002CA_5|11|0|3	Cervical	Mono/Macro	0.237978036
CESC_HRA001742@R2020002CA_5|14|0	Cervical	CD8T	0.457269693
CESC_HRA001742@R2020002CA_5|19|0	Cervical	CD8T	0.617053388
CESC_HRA001742@R2020002CA_5|19|0|10	Cervical	CD8T	0.281347865
CESC_HRA001742@R2020002CA_5|19|0|11	Cervical	CD8T	0.305295726
CESC_HRA001742@R2020002CA_5|19|0|12	Cervical	CD8T	0.301163983
CESC_HRA001742@R2020002CA_5|19|0|13	Cervical	CD8T	0.318631945
CESC_HRA001742@R2020002CA_5|19|0|14	Cervical	CD8T	0.58514141
CESC_HRA001742@R2020002CA_5|19|0|15	Cervical	CD8T	0.280859515
CESC_HRA001742@R2020002CA_5|19|0|16	Cervical	CD8T	0.425542515
CESC_HRA001742@R2020002CA_5|19|0|2	Cervical	CD8T	0.295781794
CESC_HRA001742@R2020002CA_5|19|0|3	Cervical	CD8T	0.46709973
CESC_HRA001742@R2020002CA_5|19|0|4	Cervical	CD8T	0.431999864
CESC_HRA001742@R2020002CA_5|19|0|5	Cervical	CD8T	0.419291394
CESC_HRA001742@R2020002CA_5|19|0|6	Cervical	CD8T	0.480395012
CESC_HRA001742@R2020002CA_5|19|0|7	Cervical	CD8T	0.629678595
CESC_HRA001742@R2020002CA_5|19|0|8	Cervical	CD8T	0.321275975
CESC_HRA001742@R2020002CA_5|19|0|9	Cervical	Treg	0.444255868
CESC_HRA001742@R2020002CA_5|19|1	Cervical	CD8T	0.587887454
CESC_HRA001742@R2020002CA_5|19|1|2	Cervical	CD8T	0.414244633
CESC_HRA001742@R2020002CA_5|23|0	Cervical	Tprolif	0.500507865
CESC_HRA001742@R2020002CA_5|23|1|1	Cervical	Tprolif	0.427053334
CESC_HRA001742@R2020002CA_5|26|0|1	Cervical	Tprolif	0.827205474
CESC_HRA001742@R2020002CA_5|26|1|1	Cervical	Tprolif	0.843438226
CESC_HRA001742@R2020003P_5|0|0|1	Cervical	CD8T	0.306885931
CESC_HRA001742@R2020003P_5|1|0	Cervical	CD4Tconv	0.306701469
CESC_HRA001742@R2020003P_5|1|0|2	Cervical	CD4Tconv	0.287163617
CESC_HRA001742@R2020003P_5|1|0|3	Cervical	CD8T	0.131581382
CESC_HRA001742@R2020003P_5|1|1	Cervical	CD8T	0.106137469
CESC_HRA001742@R2020003P_5|11|0	Cervical	Mono/Macro	0.32197322
CESC_HRA001742@R2020003P_5|11|1	Cervical	Mono/Macro	0.247258916
CESC_HRA001742@R2020010CA_5|0|0	Cervical	CD8T	0.581256835
CESC_HRA001742@R2020010CA_5|0|0|10	Cervical	CD8T	0.248794917
CESC_HRA001742@R2020010CA_5|0|0|11	Cervical	CD8T	0.471045555
CESC_HRA001742@R2020010CA_5|0|0|12	Cervical	CD8T	0.244381508
CESC_HRA001742@R2020010CA_5|0|0|13	Cervical	CD8T	0.252828106
CESC_HRA001742@R2020010CA_5|0|0|14	Cervical	CD8T	0.111589736
CESC_HRA001742@R2020010CA_5|0|0|15	Cervical	CD8T	0.421559384
CESC_HRA001742@R2020010CA_5|0|0|16	Cervical	CD8T	0.105895146
CESC_HRA001742@R2020010CA_5|0|0|17	Cervical	CD8T	0.096081065
CESC_HRA001742@R2020010CA_5|0|0|18	Cervical	CD8T	0.287681129
CESC_HRA001742@R2020010CA_5|0|0|19	Cervical	CD8T	0.261543604
CESC_HRA001742@R2020010CA_5|0|0|2	Cervical	CD8T	0.272254638
CESC_HRA001742@R2020010CA_5|0|0|20	Cervical	CD8T	0.451791628
CESC_HRA001742@R2020010CA_5|0|0|21	Cervical	CD8T	0.45449848
CESC_HRA001742@R2020010CA_5|0|0|22	Cervical	CD8T	0.404715351
CESC_HRA001742@R2020010CA_5|0|0|23	Cervical	CD8T	0.259654449
CESC_HRA001742@R2020010CA_5|0|0|24	Cervical	CD8T	0.241995246
CESC_HRA001742@R2020010CA_5|0|0|25	Cervical	CD8T	0.557502683
CESC_HRA001742@R2020010CA_5|0|0|26	Cervical	CD8T	0.397134646
CESC_HRA001742@R2020010CA_5|0|0|27	Cervical	CD8T	0.456823762
CESC_HRA001742@R2020010CA_5|0|0|28	Cervical	CD8T	0.415694658
CESC_HRA001742@R2020010CA_5|0|0|29	Cervical	CD8T	0.403398228
CESC_HRA001742@R2020010CA_5|0|0|3	Cervical	CD8T	0.558683714
CESC_HRA001742@R2020010CA_5|0|0|30	Cervical	CD8T	0.738953088
CESC_HRA001742@R2020010CA_5|0|0|31	Cervical	CD8T	0.427236003
CESC_HRA001742@R2020010CA_5|0|0|32	Cervical	CD8T	0.65875152
CESC_HRA001742@R2020010CA_5|0|0|33	Cervical	CD8T	0.257142447
CESC_HRA001742@R2020010CA_5|0|0|4	Cervical	Treg	0.241878777
CESC_HRA001742@R2020010CA_5|0|0|5	Cervical	CD8T	0.284380571
CESC_HRA001742@R2020010CA_5|0|0|6	Cervical	CD8T	0.235378684
CESC_HRA001742@R2020010CA_5|0|0|7	Cervical	CD8T	0.455714731
CESC_HRA001742@R2020010CA_5|0|0|8	Cervical	CD8T	0.552470702
CESC_HRA001742@R2020010CA_5|0|0|9	Cervical	CD8T	0.540607835
CESC_HRA001742@R2020010CA_5|0|1	Cervical	CD4Tconv	0.416520182
CESC_HRA001742@R2020010CA_5|0|1|10	Cervical	CD8T	0.287261775
CESC_HRA001742@R2020010CA_5|0|1|11	Cervical	CD8T	0.375347613
CESC_HRA001742@R2020010CA_5|0|1|12	Cervical	CD8T	0.808105298
CESC_HRA001742@R2020010CA_5|0|1|13	Cervical	CD8T	0.44238989
CESC_HRA001742@R2020010CA_5|0|1|14	Cervical	CD8T	0.587596156
CESC_HRA001742@R2020010CA_5|0|1|15	Cervical	CD4Tconv	0.566769866
CESC_HRA001742@R2020010CA_5|0|1|16	Cervical	CD8T	0.259985031
CESC_HRA001742@R2020010CA_5|0|1|17	Cervical	CD8T	0.517839258
CESC_HRA001742@R2020010CA_5|0|1|18	Cervical	Treg	0.419562974
CESC_HRA001742@R2020010CA_5|0|1|2	Cervical	CD8T	0.535678113
CESC_HRA001742@R2020010CA_5|0|1|3	Cervical	CD8T	0.11110509
CESC_HRA001742@R2020010CA_5|0|1|4	Cervical	CD8T	0.444933105
CESC_HRA001742@R2020010CA_5|0|1|5	Cervical	CD8T	0.436603965
CESC_HRA001742@R2020010CA_5|0|1|6	Cervical	CD8T	0.601130208
CESC_HRA001742@R2020010CA_5|0|1|7	Cervical	Treg	0.233753795
CESC_HRA001742@R2020010CA_5|0|1|8	Cervical	CD8T	0.400525269
CESC_HRA001742@R2020010CA_5|0|1|9	Cervical	CD8T	0.441766379
CESC_HRA001742@R2020010CA_5|1|0|1	Cervical	CD4Tconv	0.277610039
CESC_HRA001742@R2020010CA_5|1|0|10	Cervical	CD4Tconv	0.621377723
CESC_HRA001742@R2020010CA_5|1|0|11	Cervical	CD8T	0.278497664
CESC_HRA001742@R2020010CA_5|1|0|12	Cervical	CD4Tconv	0.468364082
CESC_HRA001742@R2020010CA_5|1|0|13	Cervical	CD8T	0.115830388
CESC_HRA001742@R2020010CA_5|1|0|14	Cervical	CD8T	0.286659614
CESC_HRA001742@R2020010CA_5|1|0|15	Cervical	CD8T	0.286219458
CESC_HRA001742@R2020010CA_5|1|0|16	Cervical	CD4Tconv	0.635232667
CESC_HRA001742@R2020010CA_5|1|0|17	Cervical	CD4Tconv	0.453616155
CESC_HRA001742@R2020010CA_5|1|0|18	Cervical	CD8T	0.09729268
CESC_HRA001742@R2020010CA_5|1|0|19	Cervical	CD8T	0.120071041
CESC_HRA001742@R2020010CA_5|1|0|2	Cervical	CD8T	0.10868186
CESC_HRA001742@R2020010CA_5|1|0|20	Cervical	Treg	0.567450597
CESC_HRA001742@R2020010CA_5|1|0|21	Cervical	CD4Tconv	0.489889644
CESC_HRA001742@R2020010CA_5|1|0|22	Cervical	CD8T	0.296869836
CESC_HRA001742@R2020010CA_5|1|0|23	Cervical	Treg	0.24898667
CESC_HRA001742@R2020010CA_5|1|0|24	Cervical	Treg	0.240296212
CESC_HRA001742@R2020010CA_5|1|0|25	Cervical	CD8T	0.433574242
CESC_HRA001742@R2020010CA_5|1|0|26	Cervical	Treg	0.419474866
CESC_HRA001742@R2020010CA_5|1|0|27	Cervical	CD4Tconv	0.117163165
CESC_HRA001742@R2020010CA_5|1|0|28	Cervical	CD8T	0.120071041
CESC_HRA001742@R2020010CA_5|1|0|29	Cervical	CD4Tconv	0.261741017
CESC_HRA001742@R2020010CA_5|1|0|3	Cervical	Treg	0.37317685
CESC_HRA001742@R2020010CA_5|1|0|30	Cervical	CD8T	0.112559028
CESC_HRA001742@R2020010CA_5|1|0|31	Cervical	CD4Tconv	0.463270512
CESC_HRA001742@R2020010CA_5|1|0|32	Cervical	CD4Tconv	0.264200189
CESC_HRA001742@R2020010CA_5|1|0|33	Cervical	CD4Tconv	0.322556073
CESC_HRA001742@R2020010CA_5|1|0|34	Cervical	CD8T	0.260263808
CESC_HRA001742@R2020010CA_5|1|0|35	Cervical	CD8T	0.230370334
CESC_HRA001742@R2020010CA_5|1|0|4	Cervical	CD8T	0.287999343
CESC_HRA001742@R2020010CA_5|1|0|5	Cervical	CD8T	0.425990345
CESC_HRA001742@R2020010CA_5|1|0|6	Cervical	CD8T	0.304036336
CESC_HRA001742@R2020010CA_5|1|0|7	Cervical	CD4Tconv	0.601930295
CESC_HRA001742@R2020010CA_5|1|0|8	Cervical	CD8T	0.450572641
CESC_HRA001742@R2020010CA_5|1|0|9	Cervical	Treg	0.441781007
CESC_HRA001742@R2020010CA_5|11|0	Cervical	Mono/Macro	0.329910305
CESC_HRA001742@R2020010CA_5|11|0|2	Cervical	Mono/Macro	0.190030835
CESC_HRA001742@R2020010CA_5|11|1|1	Cervical	Mono/Macro	0.306124509
CESC_HRA001742@R2020010CA_5|14|0|1	Cervical	CD8T	0.41668587
CESC_HRA001742@R2020010CA_5|14|0|2	Cervical	Treg	0.441360303
CESC_HRA001742@R2020010CA_5|21|0	Cervical	DC	0.371071286
CESC_HRA001742@R2020010CA_5|24|0|1	Cervical	CD8T	0.239041341
CESC_HRA001742@R2020010CA_5|24|0|2	Cervical	CD8T	0.09329435
