SampleID	EXTENDScores	Samples	Tissues	SenescenceGenes	ClusterNo	ClusterMean	EXTENDclass
HMCB_SKIN	0.61705369	HMCB	Skin	0.92789321440808	2	0.650899640438531	High
HMEL_BREAST	0.733054221	HMEL	Breast	1.24390714477646	2	0.650899640438531	High
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.707103277	HNT34	Haematpoetic&Lymphoid	0.921198855888151	2	0.650899640438531	High
HOP62_LUNG	0.556920242	HOP62	Lung	1.23118647605927	2	0.650899640438531	High
HOP92_LUNG	0.465355558	HOP92	Lung	1.21253266766568	1	0.399361136386076	Low
HOS_BONE	0.677495565	HOS	Bone	0.906723715194936	2	0.650899640438531	High
HPAC_PANCREAS	0.542062597	HPAC	Pancreas	1.03431878634589	2	0.650899640438531	High
HPAFII_PANCREAS	0.482907271	HPAFII	Pancreas	1.2803948648743	1	0.399361136386076	Low
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.837981723	HPBALL	Haematpoetic&Lymphoid	0.718497380258537	2	0.650899640438531	High
HS172T_FIBROBLAST	0.227112933	HS172T	Fibroblast	1.29948471849431	1	0.399361136386076	Low
HS229T_FIBROBLAST	0.389353183	HS229T	Fibroblast	1.28906493295511	1	0.399361136386076	Low
HS255T_FIBROBLAST	0.018151496	HS255T	Fibroblast	1.33205960841144	1	0.399361136386076	Low
HS274T_FIBROBLAST	0.27595471	HS274T	Fibroblast	1.22815742374371	1	0.399361136386076	Low
HS281T_FIBROBLAST	0.211842957	HS281T	Fibroblast	1.26782236671033	1	0.399361136386076	Low
HS294T_SKIN	0.474712699	HS294T	Skin	1.28419668045098	1	0.399361136386076	Low
HS343T_FIBROBLAST	0.271180288	HS343T	Fibroblast	1.32596718275648	1	0.399361136386076	Low
HS578T_BREAST	0.378760848	HS578T	Breast	1.23496680370669	1	0.399361136386076	Low
HS600T_FIBROBLAST	0.323124977	HS600T	Fibroblast	1.447646730401	1	0.399361136386076	Low
HS606T_FIBROBLAST	0.109314201	HS606T	Fibroblast	1.36475777940992	1	0.399361136386076	Low
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.709811883	HS611T	Haematpoetic&Lymphoid	1.08551361283725	2	0.650899640438531	High
HS616T_FIBROBLAST	0.138826157	HS616T	Fibroblast	1.34403702429999	1	0.399361136386076	Low
HS618T_FIBROBLAST	0.382558672	HS618T	Fibroblast	1.30333670301022	1	0.399361136386076	Low
HS675T_FIBROBLAST	0.187564116	HS675T	Fibroblast	1.44260984504544	1	0.399361136386076	Low
HS683_CENTRAL_NERVOUS_SYSTEM	0.277913679	HS683	CNS	1.38066318491401	1	0.399361136386076	Low
HS688AT_FIBROBLAST	0.307279167	HS688AT	Fibroblast	1.26372669749966	1	0.399361136386076	Low
HS695T_SKIN	0.568315234	HS695T	Skin	1.15154743547949	2	0.650899640438531	High
HS698T_FIBROBLAST	0.245290576	HS698T	Fibroblast	1.33199484552697	1	0.399361136386076	Low
HS706T_BONE	0.302860039	HS706T	Bone	1.17500454408239	1	0.399361136386076	Low
HS729_SOFT_TISSUE	0.446700817	HS729	SoftTissue	1.39158033085764	1	0.399361136386076	Low
HS737T_FIBROBLAST	0.201701955	HS737T	Fibroblast	1.33410995681521	1	0.399361136386076	Low
HS739T_FIBROBLAST	0.175803683	HS739T	Fibroblast	1.28230454988879	1	0.399361136386076	Low
HS742T_FIBROBLAST	0	HS742T	Fibroblast	1.49583440122558	1	0.399361136386076	Low
HS746T_STOMACH	0.306309989	HS746T	Stomach	1.20288342681535	1	0.399361136386076	Low
HS751T_FIBROBLAST	0.429472431	HS751T	Fibroblast	1.29685505539005	1	0.399361136386076	Low
HS766T_PANCREAS	0.344731881	HS766T	Pancreas	1.30448606935241	1	0.399361136386076	Low
HS819T_FIBROBLAST	0.080749793	HS819T	Fibroblast	1.30422562742564	1	0.399361136386076	Low
HS821T_FIBROBLAST	0.266489544	HS821T	Fibroblast	1.34397747892556	1	0.399361136386076	Low
HS822T_FIBROBLAST	0.072610848	HS822T	Fibroblast	1.43125374996531	1	0.399361136386076	Low
HS834T_FIBROBLAST	0.173200929	HS834T	Fibroblast	1.28179085065326	1	0.399361136386076	Low
HS839T_FIBROBLAST	0.291439629	HS839T	Fibroblast	1.35314310374952	1	0.399361136386076	Low
HS840T_FIBROBLAST	0.18505755	HS840T	Fibroblast	1.41194993648893	1	0.399361136386076	Low
HS852T_SKIN	0.603796543	HS852T	Skin	1.1061361456805	2	0.650899640438531	High
HS863T_FIBROBLAST	0.292487987	HS863T	Fibroblast	1.32223394744779	1	0.399361136386076	Low
HS870T_FIBROBLAST	0.315599477	HS870T	Fibroblast	1.29313883842158	1	0.399361136386076	Low
HS888T_FIBROBLAST	0.227179032	HS888T	Fibroblast	1.34035737275535	1	0.399361136386076	Low
HS895T_FIBROBLAST	0.207178629	HS895T	Fibroblast	1.36708694868371	1	0.399361136386076	Low
HS934T_FIBROBLAST	0.357389681	HS934T	Fibroblast	1.33899231939229	1	0.399361136386076	Low
HS936T_SKIN	0.488081463	HS936T	Skin	0.882600583588493	1	0.399361136386076	Low
HS939T_SKIN	0.436273961	HS939T	Skin	1.30453171499075	1	0.399361136386076	Low
HS940T_FIBROBLAST	0.264886649	HS940T	Fibroblast	1.30280867489788	1	0.399361136386076	Low
HS944T_SKIN	0.454191032	HS944T	Skin	1.39094438812562	1	0.399361136386076	Low
HSC2_UPPER_AERODIGESTIVE_TRACT	0.456826169	HSC2	UpperAeroDigestiveTract	1.27828229192921	1	0.399361136386076	Low
HSC3_UPPER_AERODIGESTIVE_TRACT	0.544426785	HSC3	UpperAeroDigestiveTract	1.29594265545043	2	0.650899640438531	High
HSC4_UPPER_AERODIGESTIVE_TRACT	0.308628744	HSC4	UpperAeroDigestiveTract	1.23257165939032	1	0.399361136386076	Low
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.901154319	HT	Haematpoetic&Lymphoid	0.64006061358698	2	0.650899640438531	High
HT1080_SOFT_TISSUE	0.649202458	HT1080	SoftTissue	1.08926711571838	2	0.650899640438531	High
HT115_LARGE_INTESTINE	0.664079017	HT115	LargeIntestine	1.09079760129873	2	0.650899640438531	High
HT1197_URINARY_TRACT	0.645147374	HT1197	UrinaryTract	1.12109592202993	2	0.650899640438531	High
HT1376_URINARY_TRACT	0.521268768	HT1376	UrinaryTract	1.08730131108396	1	0.399361136386076	Low
HT144_SKIN	0.549258974	HT144	Skin	1.16156650942133	2	0.650899640438531	High
HT29_LARGE_INTESTINE	0.557753353	HT29	LargeIntestine	0.836817741313717	2	0.650899640438531	High
HT55_LARGE_INTESTINE	0.43558531	HT55	LargeIntestine	0.966480554396184	1	0.399361136386076	Low
HUCCT1_BILIARY_TRACT	0.462672751	HUCCT1	BiliaryTract	1.34244780819753	1	0.399361136386076	Low
HUG1N_STOMACH	0.506774898	HUG1N	Stomach	0.987220355448149	1	0.399361136386076	Low
HUH1_LIVER	0.507608885	HUH1	Liver	1.18103726334457	1	0.399361136386076	Low
HUH28_BILIARY_TRACT	0.355471532	HUH28	BiliaryTract	1.31476203578868	1	0.399361136386076	Low
HUH6_LIVER	0.533971145	HUH6	Liver	1.00804400258164	2	0.650899640438531	High
HUH7_LIVER	0.456976901	HUH7	Liver	1.08539549155328	1	0.399361136386076	Low
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.82436224	HUNS1	Haematpoetic&Lymphoid	0.855011955673473	2	0.650899640438531	High
HUPT3_PANCREAS	0.46204148	HUPT3	Pancreas	1.20916492906304	1	0.399361136386076	Low
HUPT4_PANCREAS	0.426209117	HUPT4	Pancreas	1.06553113349691	1	0.399361136386076	Low
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.694542463	HUT102	Haematpoetic&Lymphoid	1.23553605280664	2	0.650899640438531	High
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.389428955	HUT78	Haematpoetic&Lymphoid	1.0091418038961	1	0.399361136386076	Low
HUTU80_SMALL_INTESTINE	0.73519108	HUTU80	SmallIntestine	0.957355438041058	2	0.650899640438531	High
IALM_LUNG	0.415297366	IALM	Lung	1.10227369366864	1	0.399361136386076	Low
IGR1_SKIN	0.60334698	IGR1	Skin	1.0885853826255	2	0.650899640438531	High
IGR37_SKIN	0.439913366	IGR37	Skin	0.889835195949426	1	0.399361136386076	Low
IGR39_SKIN	0.41522986	IGR39	Skin	1.19816123148192	1	0.399361136386076	Low
IGROV1_OVARY	0.631722207	IGROV1	Ovary	1.04124777691361	2	0.650899640438531	High
IM95_STOMACH	0.53151548	IM95	Stomach	0.829584904066935	2	0.650899640438531	High
IMR32_AUTONOMIC_GANGLIA	0.632615893	IMR32	A_Ganglia	0.639876075000298	2	0.650899640438531	High
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.756758219	INA6	Haematpoetic&Lymphoid	0.894257980939481	2	0.650899640438531	High
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	0.832540352	IOMMLEE	CNS	0.975165446579161	2	0.650899640438531	High
IPC298_SKIN	0.433283341	IPC298	Skin	0.835371392447732	1	0.399361136386076	Low
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	0.449097282	ISHIKAWAHERAKLIO02ER	Endometrium	0.883960199530129	1	0.399361136386076	Low
ISTMES1_PLEURA	0.472302567	ISTMES1	Pleura	1.15328326690821	1	0.399361136386076	Low
ISTMES2_PLEURA	0.63939499	ISTMES2	Pleura	1.17907422383122	2	0.650899640438531	High
J82_URINARY_TRACT	0.608595048	J82	UrinaryTract	1.21605509408949	2	0.650899640438531	High
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.798491377	JEKO1	Haematpoetic&Lymphoid	0.865825687544651	2	0.650899640438531	High
JHESOAD1_OESOPHAGUS	0.693809716	JHESOAD1	Oesophagus	1.14652230534047	2	0.650899640438531	High
JHH1_LIVER	0.577335344	JHH1	Liver	1.01937943208362	2	0.650899640438531	High
JHH2_LIVER	0.331254565	JHH2	Liver	1.33305655425997	1	0.399361136386076	Low
JHH4_LIVER	0.560277234	JHH4	Liver	1.10702086919623	2	0.650899640438531	High
JHH5_LIVER	0.559850031	JHH5	Liver	1.01980792635959	2	0.650899640438531	High
JHH6_LIVER	0.558929227	JHH6	Liver	1.18549724972252	2	0.650899640438531	High
JHH7_LIVER	0.739760562	JHH7	Liver	0.933494010017235	2	0.650899640438531	High
JHOC5_OVARY	0.617947304	JHOC5	Ovary	1.23393060400046	2	0.650899640438531	High
JHOM1_OVARY	0.300075454	JHOM1	Ovary	1.28280880316403	1	0.399361136386076	Low
JHOM2B_OVARY	0.409837756	JHOM2B	Ovary	0.990939709581247	1	0.399361136386076	Low
JHOS2_OVARY	0.33439488	JHOS2	Ovary	1.1397556152322	1	0.399361136386076	Low
JHOS4_OVARY	0.634611768	JHOS4	Ovary	1.10665665038098	2	0.650899640438531	High
JHUEM1_ENDOMETRIUM	0.451758581	JHUEM1	Endometrium	0.788440927119369	1	0.399361136386076	Low
JHUEM2_ENDOMETRIUM	0.471010929	JHUEM2	Endometrium	0.859024454209432	1	0.399361136386076	Low
JHUEM3_ENDOMETRIUM	0.215834892	JHUEM3	Endometrium	1.34335130948621	1	0.399361136386076	Low
JHUEM7_ENDOMETRIUM	0.482180029	JHUEM7	Endometrium	1.11698690136618	1	0.399361136386076	Low
JIMT1_BREAST	0.566147958	JIMT1	Breast	0.988710572100724	2	0.650899640438531	High
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.715946953	JJN3	Haematpoetic&Lymphoid	1.03153472566465	2	0.650899640438531	High
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.690540408	JK1	Haematpoetic&Lymphoid	0.836201948238689	2	0.650899640438531	High
JL1_PLEURA	0.448065139	JL1	Pleura	1.28325970164414	1	0.399361136386076	Low
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.89448183	JM1	Haematpoetic&Lymphoid	0.669940323833568	2	0.650899640438531	High
JMSU1_URINARY_TRACT	0.641086787	JMSU1	UrinaryTract	1.19328451271346	2	0.650899640438531	High
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.740691363	JURKAT	Haematpoetic&Lymphoid	0.65549166537292	2	0.650899640438531	High
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.6556717	JURLMK1	Haematpoetic&Lymphoid	0.943609796947188	2	0.650899640438531	High
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.464649173	JVM2	Haematpoetic&Lymphoid	0.966461081276634	1	0.399361136386076	Low
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.506694482	JVM3	Haematpoetic&Lymphoid	0.956515359494871	1	0.399361136386076	Low
K029AX_SKIN	0.530604141	K029AX	Skin	1.04794397619533	2	0.650899640438531	High
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.714388706	K562	Haematpoetic&Lymphoid	0.887329132493348	2	0.650899640438531	High
KALS1_CENTRAL_NERVOUS_SYSTEM	0.363775351	KALS1	CNS	1.21289989364979	1	0.399361136386076	Low
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.455855412	KARPAS299	Haematpoetic&Lymphoid	0.952487811414874	1	0.399361136386076	Low
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.570417	KARPAS422	Haematpoetic&Lymphoid	0.589906954347557	2	0.650899640438531	High
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.451058879	KARPAS620	Haematpoetic&Lymphoid	0.960051203315395	1	0.399361136386076	Low
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.713142942	KASUMI1	Haematpoetic&Lymphoid	0.886924902084983	2	0.650899640438531	High
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.923458088	KASUMI2	Haematpoetic&Lymphoid	0.739679478564535	2	0.650899640438531	High
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.612515351	KASUMI6	Haematpoetic&Lymphoid	0.87892742914598	2	0.650899640438531	High
KATOIII_STOMACH	0.523538944	KATOIII	Stomach	0.972593474267098	1	0.399361136386076	Low
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.690329171	KCL22	Haematpoetic&Lymphoid	0.882155025434957	2	0.650899640438531	High
KD_SOFT_TISSUE	0.517080494	KD	SoftTissue	0.744411930197493	1	0.399361136386076	Low
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.807516626	KE37	Haematpoetic&Lymphoid	0.674960964264803	2	0.650899640438531	High
KE39_STOMACH	0.446032597	KE39	Stomach	0.953870951185503	1	0.399361136386076	Low
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.677015715	KE97	Haematpoetic&Lymphoid	0.901899546489759	2	0.650899640438531	High
KELLY_AUTONOMIC_GANGLIA	0.823349579	KELLY	A_Ganglia	0.693566715946294	2	0.650899640438531	High
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.671977222	KG1	Haematpoetic&Lymphoid	0.87918825815084	2	0.650899640438531	High
KG1C_CENTRAL_NERVOUS_SYSTEM	0.185076281	KG1C	CNS	1.34834112537065	1	0.399361136386076	Low
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.90943822	KHM1B	Haematpoetic&Lymphoid	0.783322248879688	2	0.650899640438531	High
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.673818799	KIJK	Haematpoetic&Lymphoid	0.887809644273959	2	0.650899640438531	High
KLE_ENDOMETRIUM	0.397940211	KLE	Endometrium	1.21492558824296	1	0.399361136386076	Low
KM12_LARGE_INTESTINE	0.61454595	KM12	LargeIntestine	0.9314917367085	2	0.650899640438531	High
KMBC2_URINARY_TRACT	0.484435596	KMBC2	UrinaryTract	1.12122356124591	1	0.399361136386076	Low
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.579686799	KMH2	Haematpoetic&Lymphoid	1.00542747452838	2	0.650899640438531	High
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.893730585	KMM1	Haematpoetic&Lymphoid	0.715663838506534	2	0.650899640438531	High
KMRC1_KIDNEY	0.336147187	KMRC1	Kidney	1.38675828391657	1	0.399361136386076	Low
KMRC2_KIDNEY	0.512886662	KMRC2	Kidney	1.17474470076718	1	0.399361136386076	Low
KMRC20_KIDNEY	0.546732651	KMRC20	Kidney	1.13184558866267	2	0.650899640438531	High
KMRC3_KIDNEY	0.256270956	KMRC3	Kidney	1.25791694082611	1	0.399361136386076	Low
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.774468939	KMS11	Haematpoetic&Lymphoid	0.798248321029649	2	0.650899640438531	High
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.6163056	KMS12BM	Haematpoetic&Lymphoid	0.778578039432201	2	0.650899640438531	High
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.590107254	KMS18	Haematpoetic&Lymphoid	0.951245225447968	2	0.650899640438531	High
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.656846618	KMS20	Haematpoetic&Lymphoid	0.970011967425151	2	0.650899640438531	High
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.76851817	KMS21BM	Haematpoetic&Lymphoid	0.817565289719441	2	0.650899640438531	High
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.901392652	KMS26	Haematpoetic&Lymphoid	0.828375421387716	2	0.650899640438531	High
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.706450682	KMS27	Haematpoetic&Lymphoid	0.783905708300953	2	0.650899640438531	High
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.675100627	KMS28BM	Haematpoetic&Lymphoid	0.792876490230963	2	0.650899640438531	High
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.711070123	KMS34	Haematpoetic&Lymphoid	0.836145588243319	2	0.650899640438531	High
KNS42_CENTRAL_NERVOUS_SYSTEM	0.412795862	KNS42	CNS	0.931274833003455	1	0.399361136386076	Low
KNS60_CENTRAL_NERVOUS_SYSTEM	0.493492959	KNS60	CNS	1.1711548308382	1	0.399361136386076	Low
KNS62_LUNG	0.52979134	KNS62	Lung	1.27101989226781	2	0.650899640438531	High
KNS81_CENTRAL_NERVOUS_SYSTEM	0.413398098	KNS81	CNS	1.22307093190823	1	0.399361136386076	Low
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.710859032	KO52	Haematpoetic&Lymphoid	0.990545217304539	2	0.650899640438531	High
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.658879282	KOPN8	Haematpoetic&Lymphoid	0.872206736638713	2	0.650899640438531	High
KP2_PANCREAS	0.473679318	KP2	Pancreas	1.06671097379024	1	0.399361136386076	Low
KP3_PANCREAS	0.383855198	KP3	Pancreas	0.991941271195744	1	0.399361136386076	Low
KP4_PANCREAS	0.595204485	KP4	Pancreas	1.06434606080861	2	0.650899640438531	High
KPL1_BREAST	0.651497747	KPL1	Breast	0.842170957554595	2	0.650899640438531	High
KPMRTRY_SOFT_TISSUE	0.600754323	KPMRTRY	SoftTissue	0.786341074880054	2	0.650899640438531	High
KPNRTBM1_AUTONOMIC_GANGLIA	0.69357234	KPNRTBM1	A_Ganglia	0.714171084308091	2	0.650899640438531	High
KPNSI9S_AUTONOMIC_GANGLIA	0.44590651	KPNSI9S	A_Ganglia	1.25903265475223	1	0.399361136386076	Low
KPNYN_AUTONOMIC_GANGLIA	0.740892187	KPNYN	A_Ganglia	0.71416362801882	2	0.650899640438531	High
KS1_CENTRAL_NERVOUS_SYSTEM	0.526213765	KS1	CNS	1.08070591572151	2	0.650899640438531	High
KU1919_URINARY_TRACT	0.626226728	KU1919	UrinaryTract	1.06493464467919	2	0.650899640438531	High
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.715596933	KU812	Haematpoetic&Lymphoid	0.870917290506164	2	0.650899640438531	High
KURAMOCHI_OVARY	0.277369889	KURAMOCHI	Ovary	1.00379241289627	1	0.399361136386076	Low
KYM1_SOFT_TISSUE	0.570394744	KYM1	SoftTissue	0.794653435806008	2	0.650899640438531	High
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.649334236	KYO1	Haematpoetic&Lymphoid	0.789328695145762	2	0.650899640438531	High
KYSE140_OESOPHAGUS	0.472446319	KYSE140	Oesophagus	0.953113909869009	1	0.399361136386076	Low
KYSE150_OESOPHAGUS	0.427655198	KYSE150	Oesophagus	1.10844637643838	1	0.399361136386076	Low
KYSE180_OESOPHAGUS	0.696058828	KYSE180	Oesophagus	1.12311318027265	2	0.650899640438531	High
KYSE270_OESOPHAGUS	0.52490073	KYSE270	Oesophagus	1.10369361187502	1	0.399361136386076	Low
KYSE30_OESOPHAGUS	0.250553162	KYSE30	Oesophagus	1.00307765636954	1	0.399361136386076	Low
KYSE410_OESOPHAGUS	0.546227302	KYSE410	Oesophagus	0.983904224173694	2	0.650899640438531	High
KYSE450_OESOPHAGUS	0.564460373	KYSE450	Oesophagus	0.994136821903578	2	0.650899640438531	High
KYSE510_OESOPHAGUS	0.430333193	KYSE510	Oesophagus	1.11363871706843	1	0.399361136386076	Low
KYSE520_OESOPHAGUS	0.483952237	KYSE520	Oesophagus	1.13430128083884	1	0.399361136386076	Low
KYSE70_OESOPHAGUS	0.288943309	KYSE70	Oesophagus	0.972458082356453	1	0.399361136386076	Low
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.549661981	L1236	Haematpoetic&Lymphoid	0.915507023900649	2	0.650899640438531	High
L33_PANCREAS	0.556501554	L33	Pancreas	1.19030649281771	2	0.650899640438531	High
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.827628795	L363	Haematpoetic&Lymphoid	0.737214105101823	2	0.650899640438531	High
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.834998864	L428	Haematpoetic&Lymphoid	0.815880717460046	2	0.650899640438531	High
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.772296589	L540	Haematpoetic&Lymphoid	0.836960001953249	2	0.650899640438531	High
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.605526158	LAMA84	Haematpoetic&Lymphoid	1.00026677087126	2	0.650899640438531	High
LC1F_LUNG	0.602345177	LC1F	Lung	0.946195760854449	2	0.650899640438531	High
LCLC103H_LUNG	0.59809672	LCLC103H	Lung	1.11608704872133	2	0.650899640438531	High
LCLC97TM1_LUNG	0.332212841	LCLC97TM1	Lung	1.07466799931261	1	0.399361136386076	Low
LI7_LIVER	0.418439037	LI7	Liver	1.14699336622053	1	0.399361136386076	Low
LK2_LUNG	0.595476129	LK2	Lung	0.829400044256057	2	0.650899640438531	High
LMSU_STOMACH	0.532016665	LMSU	Stomach	1.27793659345547	2	0.650899640438531	High
LN18_CENTRAL_NERVOUS_SYSTEM	0.642392562	LN18	CNS	1.22882958677156	2	0.650899640438531	High
LN215_CENTRAL_NERVOUS_SYSTEM	0.617279931	LN215	CNS	1.17793096153699	2	0.650899640438531	High
LN229_CENTRAL_NERVOUS_SYSTEM	0.537372065	LN229	CNS	1.12277868626065	2	0.650899640438531	High
LN235_CENTRAL_NERVOUS_SYSTEM	0.408814868	LN235	CNS	1.13104768349735	1	0.399361136386076	Low
LN319_CENTRAL_NERVOUS_SYSTEM	0.616630786	LN319	CNS	1.0185801736017	2	0.650899640438531	High
LN340_CENTRAL_NERVOUS_SYSTEM	0.499749642	LN340	CNS	1.17564111531065	1	0.399361136386076	Low
LN382_CENTRAL_NERVOUS_SYSTEM	0.419930331	LN382	CNS	1.33663133274613	1	0.399361136386076	Low
LN428_CENTRAL_NERVOUS_SYSTEM	0.651650943	LN428	CNS	1.12942030675422	2	0.650899640438531	High
LN443_CENTRAL_NERVOUS_SYSTEM	0.461244901	LN443	CNS	1.13827636540333	1	0.399361136386076	Low
LN464_CENTRAL_NERVOUS_SYSTEM	0.512289362	LN464	CNS	1.05936829136711	1	0.399361136386076	Low
LNCAPCLONEFGC_PROSTATE	0.550531377	LNCAPCLONEFGC	Prostate	0.74326356708512	2	0.650899640438531	High
LNZ308_CENTRAL_NERVOUS_SYSTEM	0.528587861	LNZ308	CNS	1.02540948672038	2	0.650899640438531	High
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.689980942	LOUCY	Haematpoetic&Lymphoid	0.731533200704295	2	0.650899640438531	High
LOUNH91_LUNG	0.497610548	LOUNH91	Lung	1.07599379372564	1	0.399361136386076	Low
LOVO_LARGE_INTESTINE	0.673607405	LOVO	LargeIntestine	1.0820795474563	2	0.650899640438531	High
LOXIMVI_SKIN	0.630029281	LOXIMVI	Skin	1.19180125504572	2	0.650899640438531	High
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.634953726	LP1	Haematpoetic&Lymphoid	0.858425791239357	2	0.650899640438531	High
LS1034_LARGE_INTESTINE	0.3321324	LS1034	LargeIntestine	1.03586855369653	1	0.399361136386076	Low
LS123_LARGE_INTESTINE	0.395510127	LS123	LargeIntestine	1.21760426515642	1	0.399361136386076	Low
LS180_LARGE_INTESTINE	0.477813924	LS180	LargeIntestine	0.984315156154326	1	0.399361136386076	Low
LS411N_LARGE_INTESTINE	0.630124358	LS411N	LargeIntestine	0.947365487156976	2	0.650899640438531	High
LS513_LARGE_INTESTINE	0.631065982	LS513	LargeIntestine	0.920717671358812	2	0.650899640438531	High
LU65_LUNG	0.663378016	LU65	Lung	1.12621252884209	2	0.650899640438531	High
LU99_LUNG	0.612701511	LU99	Lung	1.0917803611648	2	0.650899640438531	High
LUDLU1_LUNG	0.617055092	LUDLU1	Lung	1.09252192429554	2	0.650899640438531	High
LXF289_LUNG	0.279467635	LXF289	Lung	1.16229731483036	1	0.399361136386076	Low
M059K_CENTRAL_NERVOUS_SYSTEM	0.459205224	M059K	CNS	1.19852659294195	1	0.399361136386076	Low
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.639948825	M07E	Haematpoetic&Lymphoid	0.864539538122989	2	0.650899640438531	High
MALME3M_SKIN	0.379695793	MALME3M	Skin	1.04928040928991	1	0.399361136386076	Low
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.87668457	MC116	Haematpoetic&Lymphoid	0.72703502130892	2	0.650899640438531	High
MCAS_OVARY	0.478092317	MCAS	Ovary	1.17157918246413	1	0.399361136386076	Low
MCF7_BREAST	0.636041437	MCF7	Breast	0.888337133777238	2	0.650899640438531	High
MDAMB134VI_BREAST	0.623292372	MDAMB134VI	Breast	0.613701117637172	2	0.650899640438531	High
MDAMB157_BREAST	0.429940137	MDAMB157	Breast	1.0236319564792	1	0.399361136386076	Low
MDAMB175VII_BREAST	0.338625817	MDAMB175VII	Breast	0.915183448139415	1	0.399361136386076	Low
MDAMB231_BREAST	0.528886096	MDAMB231	Breast	1.23217618068229	2	0.650899640438531	High
MDAMB361_BREAST	0.541017168	MDAMB361	Breast	1.10183320959648	2	0.650899640438531	High
MDAMB415_BREAST	0.426150202	MDAMB415	Breast	0.976794576509069	1	0.399361136386076	Low
MDAMB435S_SKIN	0.371384988	MDAMB435S	Skin	0.975374596579831	1	0.399361136386076	Low
MDAMB436_BREAST	0.533840904	MDAMB436	Breast	1.35751547324598	2	0.650899640438531	High
MDAMB453_BREAST	0.697721226	MDAMB453	Breast	0.693578723086282	2	0.650899640438531	High
